x,y,z
1.18153,0.24597,0.84425
1.17657,0.248721,0.845605
1.17087,0.251942,0.845733
1.16579,0.256691,0.844637
1.15913,0.259747,0.84486
1.15339,0.264566,0.843821
1.14781,0.267706,0.844309
1.14149,0.27074,0.845494
1.13428,0.275717,0.846068
1.1277,0.280457,0.84625
1.12227,0.284686,0.84437
1.11767,0.289064,0.843413
1.11287,0.294645,0.842867
1.10722,0.29881,0.843144
1.10325,0.301984,0.843516
1.09811,0.307009,0.843942
1.09264,0.310693,0.84545
1.08796,0.314946,0.846732
1.08244,0.319889,0.84796
1.07856,0.325135,0.849096
1.07607,0.330313,0.848278
1.07258,0.334305,0.849081
1.06786,0.338193,0.85003
1.0645,0.342811,0.850139
1.05953,0.347374,0.849553
1.05479,0.35331,0.849388
1.05194,0.357883,0.84911
1.04804,0.363872,0.848786
1.04331,0.370809,0.846419
1.04019,0.377786,0.845301
1.03532,0.385119,0.84486
1.03087,0.391609,0.84437
1.02832,0.397313,0.84372
1.02616,0.403562,0.841549
1.02422,0.409414,0.839522
1.02181,0.413704,0.839099
1.02013,0.419588,0.838037
1.01917,0.425393,0.836205
1.01682,0.42916,0.833623
1.01485,0.434824,0.831478
1.01329,0.438789,0.830444
1.01309,0.439282,0.830325
1.0114,0.444664,0.828749
1.01053,0.448941,0.825905
1.00804,0.450965,0.824231
1.00643,0.453987,0.821369
1.00585,0.457923,0.820244
1.00382,0.45931,0.820375
1.00197,0.461961,0.81965
1.00049,0.464062,0.818595
1.00022,0.465333,0.818122
0.999952,0.466202,0.817568
0.999153,0.467078,0.817674
0.998465,0.46777,0.817665
0.996571,0.468257,0.815637
0.995066,0.470101,0.813989
0.997305,0.469984,0.813408
0.997769,0.470442,0.812639
0.998187,0.471033,0.811802
0.998009,0.472,0.810414
0.997661,0.473445,0.808792
0.998799,0.474764,0.80818
0.999118,0.475415,0.807138
0.999139,0.47549,0.806984
0.999499,0.475289,0.80529
1.00024,0.475611,0.80486
0.999007,0.475397,0.803859
0.998032,0.47539,0.803322
0.997909,0.475396,0.80326
0.997562,0.476722,0.802541
0.997524,0.476793,0.802538
0.997547,0.477028,0.802671
0.996994,0.477025,0.802558
0.996087,0.477608,0.80176
1.32549,0.165033,0.825676
1.32549,0.165033,0.825676
1.32521,0.167904,0.825914
1.3246,0.171309,0.827218
1.32391,0.174794,0.832104
1.32202,0.180996,0.838915
1.32072,0.189175,0.843601
1.31976,0.197594,0.848597
1.31768,0.209162,0.854947
1.31554,0.220256,0.861569
1.31326,0.227325,0.866015
1.31231,0.232464,0.86788
1.3113,0.234371,0.868745
1.31157,0.234353,0.868863
1.31294,0.232826,0.869077
1.3179,0.227261,0.863597
1.32038,0.223591,0.85881
1.32148,0.219841,0.855041
1.32109,0.215517,0.852327
1.3188,0.2149,0.849539
1.31607,0.216925,0.848405
1.30826,0.217938,0.844863
1.30144,0.219783,0.84161
1.28876,0.226052,0.840747
1.28023,0.230284,0.840024
1.26746,0.23735,0.838099
1.25417,0.246311,0.838933
1.24085,0.252973,0.840921
1.22814,0.259174,0.841415
1.21387,0.268766,0.841058
1.2012,0.275389,0.841488
1.18986,0.282466,0.844243
1.17868,0.289021,0.846022
1.169,0.293724,0.847994
1.16116,0.301082,0.850614
1.15315,0.305371,0.853497
1.14753,0.311222,0.854056
1.14102,0.317039,0.855366
1.13457,0.320353,0.856368
1.12914,0.325952,0.858561
1.12469,0.330343,0.860612
1.12063,0.335808,0.8604
1.11809,0.340062,0.861201
1.11325,0.344416,0.861798
1.10807,0.351031,0.865093
1.10222,0.356013,0.868224
1.09761,0.361825,0.870055
1.09212,0.367487,0.870565
1.08689,0.37181,0.870407
1.0833,0.378035,0.871323
1.07841,0.383552,0.87239
1.07431,0.388581,0.872943
1.0709,0.392715,0.874205
1.06544,0.398355,0.874513
1.06026,0.40225,0.874937
1.05605,0.405918,0.874822
1.05268,0.410492,0.87335
1.05109,0.415538,0.872378
1.04824,0.418612,0.8719
1.0441,0.422057,0.871996
1.04122,0.425458,0.871157
1.03725,0.429796,0.869654
1.03289,0.434298,0.869768
1.02944,0.437706,0.869534
1.02551,0.440601,0.867853
1.02236,0.443639,0.866046
1.01939,0.446337,0.864778
1.01584,0.448376,0.864076
1.01353,0.450735,0.861876
1.0101,0.45236,0.860124
1.00846,0.455335,0.857439
1.00618,0.45889,0.855221
1.00439,0.46098,0.854112
1.00217,0.463843,0.852545
1.0002,0.465359,0.848906
0.998328,0.467616,0.846334
0.997289,0.470273,0.843392
0.995576,0.472453,0.841536
0.993651,0.472975,0.840558
0.992495,0.474385,0.840038
0.990619,0.475954,0.838074
0.988861,0.47649,0.834278
0.987207,0.477851,0.831471
0.98596,0.478003,0.829521
0.983947,0.479883,0.828134
0.983201,0.48097,0.827388
0.982054,0.482087,0.826287
0.981979,0.482526,0.823732
0.986676,0.479399,0.823356
0.989045,0.478453,0.822441
1.31903,0.172855,0.822919
1.31903,0.172855,0.822919
1.31494,0.176611,0.822541
1.31244,0.184366,0.823588
1.3075,0.188859,0.823583
1.30265,0.191315,0.82424
1.29828,0.193277,0.825419
1.2943,0.194274,0.826637
1.28994,0.19532,0.825726
1.28588,0.197543,0.827509
1.28265,0.199565,0.827375
1.27859,0.20112,0.827581
1.27538,0.203086,0.830578
1.27121,0.205805,0.831773
1.26911,0.208313,0.831106
1.26591,0.209505,0.831867
1.261,0.209746,0.83241
1.25461,0.211547,0.833248
1.25128,0.21517,0.833616
1.246,0.220357,0.833873
1.24082,0.222288,0.837999
1.23531,0.226419,0.839113
1.23061,0.232405,0.839812
1.22454,0.235286,0.841007
1.21997,0.237124,0.839503
1.21403,0.241398,0.837547
1.20798,0.246768,0.838385
1.20284,0.24936,0.839026
1.19773,0.251261,0.841219
1.19429,0.253088,0.842358
1.19051,0.255572,0.842626
1.18458,0.258713,0.842609
1.17921,0.261816,0.842807
1.17376,0.266238,0.843263
1.16974,0.268749,0.843863
1.16521,0.271169,0.842719
1.16035,0.276491,0.842216
1.15643,0.279018,0.842928
1.15261,0.281445,0.843975
1.14675,0.28681,0.845244
1.14233,0.290706,0.845928
1.1379,0.294579,0.846528
1.13346,0.299408,0.846097
1.1287,0.30426,0.844274
1.12396,0.307035,0.844615
1.12014,0.312322,0.843658
1.11519,0.316719,0.843022
1.1103,0.319046,0.843566
1.1061,0.322617,0.842772
1.10214,0.328147,0.843084
1.09734,0.332229,0.844708
1.09366,0.337002,0.844716
1.08897,0.341177,0.845007
1.08482,0.345256,0.845549
1.07968,0.351718,0.843479
1.07579,0.35725,0.841747
1.07275,0.363517,0.841146
1.06867,0.367519,0.839667
1.06452,0.374171,0.837494
